par,group1,group2
gam.1,23.700,25.518
gam.2,-5.475,-4.803
lam.1, 3.701, 2.996
lam.2, 0.943, 0.791
lam.3, 0.268, 1.574
lam.4, 0.045, 0.121
mat_phi.1.1, 0.055, 0.131
mat_phi.1.2, 0.131, 0.538
mat_phi.2.1, 0.028, 0.016
mat_phi.2.2, 0.016, 0.330
mu.1,27.721,30.433
mu.2,84.067,88.972
mu.3, 2.628, 2.700
mu.4, 1.872, 2.041
mu.5, 2.388, 2.410
mu.6, 1.124, 1.009
mu.7, 0.628, 0.667
psi_d,41.391,36.304
psi_e.1, 0.371, 0.424
psi_e.2,77.850,86.921
psi_e.3, 0.850, 0.508
psi_e.4, 0.404, 0.336
psi_e.5, 0.354, 0.202
psi_e.6, 0.338, 0.361
psi_e.7, 0.407, 0.360
