display(log)
check(D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/model2_20230517-12/../model2.txt)
model is syntactically correct
data(D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/model2_20230517-12/data.txt)
data loaded
compile(1)
model compiled
inits(1,D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/model2_20230517-12/inits1.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(1)
update(5000)
set(mu.y1)
set(mu.y2)
set(lam)
set(sgm1)
set(sgm2)
set(sgd1)
set(sgd2)
set(gam1)
set(gam2)
set(phx1)
set(phx2)
set(deviance)
dic.set()
update(5000)
coda(*,D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/model2_20230517-12/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	deviance	85820.0	319.3	23.52	85170.0	85830.0	86430.0	5001	5000
	gam1[1]	-3.749	0.2717	0.02346	-4.322	-3.743	-3.24	5001	5000
	gam1[2]	-0.5569	0.22	0.01569	-0.9981	-0.546	-0.1532	5001	5000
	gam1[3]	0.5879	0.4289	0.03052	-0.2499	0.59	1.43	5001	5000
	gam2[1]	-3.1	0.2399	0.01777	-3.573	-3.094	-2.66	5001	5000
	gam2[2]	-1.111	0.225	0.0177	-1.552	-1.102	-0.6674	5001	5000
	gam2[3]	0.4743	0.4341	0.02918	-0.3669	0.4716	1.342	5001	5000
	lam[1]	-4.777	0.1781	0.01742	-5.156	-4.773	-4.423	5001	5000
	lam[2]	-4.181	0.1957	0.01995	-4.62	-4.162	-3.854	5001	5000
	lam[3]	-3.159	0.1516	0.01277	-3.469	-3.154	-2.878	5001	5000
	lam[4]	-4.712	0.1789	0.01662	-5.076	-4.714	-4.357	5001	5000
	lam[5]	-2.911	0.1215	0.008163	-3.139	-2.913	-2.671	5001	5000
	lam[6]	-2.499	0.1342	0.00789	-2.779	-2.499	-2.241	5001	5000
	lam[7]	-1.402	0.1032	0.004411	-1.607	-1.401	-1.202	5001	5000
	lam[8]	-2.975	0.1391	0.009031	-3.259	-2.972	-2.713	5001	5000
	lam[9]	1.229	0.09536	0.004992	1.036	1.23	1.413	5001	5000
	lam[10]	1.133	0.09408	0.004441	0.9483	1.134	1.317	5001	5000
	lam[11]	-0.2937	0.08075	0.002512	-0.4547	-0.2917	-0.1345	5001	5000
	lam[12]	0.3909	0.05033	0.001611	0.292	0.3908	0.4893	5001	5000
	lam[13]	-0.362	0.07333	0.002233	-0.5008	-0.3622	-0.2164	5001	5000
	mu.y1[1]	-0.02319	0.03582	0.00325	-0.09487	-0.02239	0.04508	5001	5000
