,mean,sd,2.50%,25%,50%,75%,97.50%
mu.y1[1],-0.017988807,0.031664136,-0.0801305,-0.0404825,-0.017275,0.00483725,0.0396625
mu.y1[2],-0.163342266,0.034837545,-0.2322025,-0.186525,-0.1628,-0.139675,-0.09615475
mu.y1[3],0.014289147,0.027896785,-0.04015,-0.00433025,0.014235,0.0328025,0.0689805
mu.y1[4],-0.005151543,0.042117507,-0.087351,-0.03214,-0.003744,0.0220125,0.07556375
mu.y1[5],0.018327538,0.042462279,-0.06281075,-0.01128,0.017585,0.0473075,0.1021
mu.y1[6],0.010384461,0.031913013,-0.05238975,-0.01098,0.01036,0.0326025,0.07053125
mu.y1[7],-0.029053139,0.022734009,-0.07338475,-0.04429,-0.02883,-0.0130075,0.014592
mu.y1[8],0.003886816,0.019767174,-0.0355905,-0.00937975,0.0041425,0.01737,0.04190025
mu.y1[9],0.003934303,0.030783747,-0.058581,-0.016325,0.004454,0.0246375,0.06348925
mu.y1[10],-0.000543122,0.024259128,-0.0480325,-0.01669,-0.00053225,0.0156025,0.04729675
mu.y1[11],0.007181248,0.027997421,-0.04748375,-0.0118425,0.0066285,0.0266875,0.0610425
mu.y1[12],0.071267884,0.002068136,0.06723975,0.0698575,0.07126,0.0727,0.07525025
mu.y1[13],0.107358168,0.004285879,0.09902,0.1045,0.1074,0.1103,0.1157
mu.y1[14],0.083795968,0.004440622,0.07505975,0.0808275,0.08383,0.0867825,0.09246
mu.y1[15],0.006846398,0.00468173,-0.002226225,0.00366675,0.0068325,0.0098915,0.01608075
mu.y1[16],-0.02498619,0.002958668,-0.03082025,-0.027,-0.024955,-0.02295,-0.01934975
mu.y1[17],-0.070881628,0.004526511,-0.07989,-0.07391,-0.07085,-0.06772,-0.0620895
mu.y2[1],-0.170298078,0.039972519,-0.2494025,-0.1973,-0.1706,-0.141975,-0.09187825
mu.y2[2],-0.2725565,0.034876575,-0.3421,-0.2968,-0.2707,-0.2483,-0.2078975
mu.y2[3],-0.071155927,0.031412704,-0.1336,-0.0926375,-0.070035,-0.049415,-0.01144875
mu.y2[4],0.20463291,0.037568117,0.121994996,0.180974995,0.2064,0.2313,0.2704
mu.y2[5],0.146853666,0.034402395,0.075799723,0.123574992,0.1475,0.1708,0.2114
mu.y2[6],-0.163692934,0.03739866,-0.2379,-0.1894,-0.1617,-0.136975,-0.09660975
mu.y2[7],-0.007406921,0.021263856,-0.0499505,-0.02154,-0.007279,0.0070235,0.0335835
mu.y2[8],0.08720244,0.019068057,0.049028499,0.07485,0.087505,0.09981,0.124102499
mu.y2[9],-0.204813156,0.041995896,-0.290005,-0.2331,-0.2039,-0.1759,-0.1271
mu.y2[10],0.001469404,0.02527061,-0.04919275,-0.01537,0.00162,0.01847,0.0504205
mu.y2[11],0.019168315,0.030461522,-0.04124075,-0.00105175,0.019565,0.03978,0.07737225
mu.y2[12],0.064828246,0.002257888,0.06044975,0.0632875,0.06487,0.06638,0.06922
mu.y2[13],0.11597206,0.004701115,0.1068,0.1128,0.116,0.119024992,0.1251
mu.y2[14],0.085134328,0.004699406,0.07610975,0.0818575,0.08518,0.08839,0.09414025
